股票代號,股票名稱,產業分類,市場別
2910,統領,18,上市
2911,麗嬰房,18,上市
2912,統一超,18,上市
2913,農林,18,上市
2915,潤泰全,18,上市
2916,滿心,38,上櫃
2923,鼎固-KY,14,上市
2924,宏太-KY,38,上櫃
2926,誠品生活,32,上櫃
2929,淘帝-KY,18,上市
2937,集雅社,38,上櫃
2939,永邑-KY,18,上市
2941,米斯特,38,上櫃
2945,三商家購,18,上市
2947,振宇五金,38,上櫃
2948,寶陞,38,上櫃
2949,欣新網,36,上櫃
3002,歐格,25,上市
3003,健和興,28,上市
3004,豐達科,10,上市
3005,神基,25,上市
3006,晶豪科,24,上市
3008,大立光,26,上市
3010,華立,29,上市
3011,今皓,28,上市
3013,晟銘電,25,上市
3014,聯陽,24,上市
3015,全漢,28,上市
3016,嘉晶,24,上市
3017,奇鋐,25,上市
3018,隆銘綠能,31,上市
3019,亞光,26,上市
3021,鴻名,28,上市
3022,威強電,25,上市
3023,信邦,28,上市
3024,憶聲,26,上市
3025,星通,27,上市
3026,禾伸堂,28,上市
3027,盛達,27,上市
3028,增你強,29,上市
3029,零壹,30,上市
3030,德律,31,上市
3031,佰鴻,26,上市
3032,偉訓,28,上市
3033,威健,29,上市
3034,聯詠,24,上市
3035,智原,24,上市
3036,文曄,29,上市
3037,欣興,28,上市
3038,全台,26,上市
3040,遠見,20,上市
3041,揚智,24,上市
3042,晶技,28,上市
3043,科風,31,上市
3044,健鼎,28,上市
3045,台灣大,27,上市
3046,建碁,25,上市
3047,訊舟,27,上市
3048,益登,29,上市
3049,精金,26,上市
3050,鈺德,26,上市
3051,力特,26,上市
3052,夆典,14,上市
3054,立萬利,02,上市
3055,蔚華科,29,上市
3056,富華新,14,上市
3057,喬鼎,25,上市
3058,立德,28,上市
3059,華晶科,26,上市
3060,銘異,25,上市
3062,建漢,27,上市
3064,泰偉,32,上櫃
3066,李洲,26,上櫃
3067,全域,31,上櫃
3071,協禧,25,上櫃
3073,天方能源,35,上櫃
3078,僑威,28,上櫃
3081,聯亞,27,上櫃
3083,網龍,32,上櫃
3085,新零售,36,上櫃
3086,華義,32,上櫃
3088,艾訊,25,上櫃
3090,日電貿,28,上市
3092,鴻碩,28,上市
3093,港建*,31,上櫃
3094,聯傑,24,上市
3095,及成,27,上櫃
3105,穩懋,24,上櫃
3114,好德,28,上櫃
3115,富榮綱,28,上櫃
3118,進階,22,上櫃
3122,笙泉,24,上櫃
3128,昇銳,26,上櫃
3130,一零四,36,上市
3131,弘塑,31,上櫃
3135,凌航,24,上市
3138,耀登,27,上市
3141,晶宏,24,上櫃
3147,大綜,30,上櫃
3149,正達,26,上市
3150,鈺寶-創,24,上市
3152,璟德,27,上櫃
3158,嘉實,30,上櫃
3162,精確,05,上櫃
3163,波若威,27,上櫃
3164,景岳,22,上市
3167,大量,05,上市
3168,眾福科,26,上市
3169,亞信,24,上櫃
3171,炎洲流通,38,上櫃
3176,基亞,22,上櫃
3178,公準,24,上櫃
3188,鑫龍騰,14,上櫃
3189,景碩,24,上市
3191,雲嘉南,28,上櫃
3205,佰研,22,上櫃
3206,志豐,28,上櫃
3207,耀勝,28,上櫃
3209,全科,29,上市
3211,順達,25,上櫃
3213,茂訊,25,上櫃
3217,優群,28,上櫃
3218,大學光,22,上櫃
3219,倚強科,31,上櫃
3221,台嘉碩,27,上櫃
3224,三顧,29,上櫃
3226,龍鋒,05,上櫃
3227,原相,24,上櫃
3228,金麗科,24,上櫃
3229,晟鈦,28,上市
3230,錦明,26,上櫃
3231,緯創,25,上市
3232,昱捷,29,上櫃
3234,光環,27,上櫃
3236,千如,28,上櫃
3252,海灣,16,上櫃
3257,虹冠電,24,上市
3259,鑫創,24,上櫃
3260,威剛,24,上櫃
3264,欣銓,24,上櫃
3265,台星科,24,上櫃
3266,昇陽,14,上市
3268,海德威,24,上櫃
3272,東碩,25,上櫃
3276,宇環,28,上櫃
3284,太普高,20,上櫃
3285,微端,31,上櫃
3287,廣寰科,25,上櫃
3288,點晶,28,上櫃
3289,宜特,31,上櫃
3290,東浦,28,上櫃
3293,鈊象,32,上櫃
3294,英濟,28,上櫃
3296,勝德,28,上市
3297,杭特,26,上櫃
3303,岱稜,31,上櫃
3305,昇貿,31,上市
3306,鼎天,27,上櫃
3308,聯德,28,上市
3310,佳穎,28,上櫃
3311,閎暉,27,上市
3312,弘憶股,29,上市
3313,斐成,20,上櫃
3317,尼克森,24,上櫃
3321,同泰,28,上市
3322,建舜電,28,上櫃
3323,加百裕,25,上櫃
3324,雙鴻,31,上櫃
3325,旭品,25,上櫃
3332,幸康,28,上櫃
3338,泰碩,28,上市
3339,泰谷,26,上櫃
3346,麗清,12,上市
3349,寶德,25,上櫃
3354,律勝,28,上櫃
3356,奇偶,26,上市
3357,臺慶科,28,上櫃
3360,尚立,29,上櫃
3362,先進光,26,上櫃
3363,上詮,27,上櫃
3372,典範,24,上櫃
3373,熱映,31,上櫃
3374,精材,24,上櫃
3376,新日興,28,上市
3379,彬台,05,上櫃
3380,明泰,27,上市
3388,崇越電,28,上櫃
3390,旭軟,28,上櫃
3402,漢科,31,上櫃
3406,玉晶光,26,上市
3413,京鼎,24,上市
3416,融程電,25,上市
3419,譁裕,27,上市
3426,台興,05,上櫃
3430,奇鈦科,21,上櫃
3432,台端,28,上市
3434,哲固,26,上櫃
3437,榮創,26,上市
3438,類比科,24,上櫃
3441,聯一光電,26,上櫃
3443,創意,24,上市
3444,利機,29,上櫃
3447,展達,27,上市
3450,聯鈞,24,上市
3454,晶睿,26,上市
3455,由田,26,上櫃
3465,進泰電子,31,上櫃
3466,德晉,27,上櫃
3467,台灣精材,24,上櫃
3479,安勤,25,上櫃
3481,群創,26,上市
3483,力致,25,上櫃
3484,崧騰,28,上櫃
3489,森寶,14,上櫃
3490,單井,26,上櫃
3491,昇達科,27,上櫃
3492,長盛,28,上櫃
3494,誠研,25,上市
3498,陽程,31,上櫃
3499,環天科,27,上櫃
3501,維熹,28,上市
3504,揚明光,26,上市
3508,位速,31,上櫃
3511,矽瑪,28,上櫃
3512,皇龍,14,上櫃
3515,華擎,25,上市
3516,亞帝歐,26,上櫃
3518,柏騰,31,上市
3520,華盈,28,上櫃
3521,台鋼建設,14,上櫃
3522,御嵿,16,上櫃
3523,迎輝,26,上櫃
3526,凡甲,28,上櫃
3527,聚積,24,上櫃
3528,安馳,29,上市
3529,力旺,24,上櫃
3530,晶相光,24,上市
3531,先益,26,上櫃
3532,台勝科,24,上市
3533,嘉澤,28,上市
3535,晶彩科,26,上市
3537,堡達,28,上櫃
3540,曜越,25,上櫃
3541,西柏,31,上櫃
3543,州巧,26,上市
3545,敦泰,24,上市
3546,宇峻,32,上櫃
3548,兆利,28,上櫃
3550,聯穎,28,上市
3551,世禾,35,上櫃
3552,同致,31,上櫃
3555,博士旺,24,上櫃
3556,禾瑞亞,24,上櫃
3557,嘉威,38,上市
3558,神準,27,上櫃
3563,牧德,26,上市
3564,其陽,27,上櫃
3567,逸昌,24,上櫃
3570,大塚,30,上櫃
3576,聯合再生,26,上市
3577,泓格,25,上櫃
3580,友威科,31,上櫃
3581,博磊,24,上櫃
3583,辛耘,24,上市
3587,閎康,31,上櫃
3588,通嘉,24,上市
3591,艾笛森,26,上市
3592,瑞鼎,24,上市
3593,力銘,28,上市
3594,磐儀,25,上櫃
3596,智易,27,上市
3597,映興,28,上櫃
3605,宏致,28,上市
3607,谷崧,28,上市
3609,三一東林,28,上櫃
3611,鼎翰,25,上櫃
3615,安可,26,上櫃
3617,碩天,31,上市
3622,洋華,26,上市
3623,富晶通,26,上櫃
3624,光頡,28,上櫃
3625,西勝,25,上櫃
3628,盈正,31,上櫃
3629,地心引力,32,上櫃
3630,新鉅科,26,上櫃
3631,晟楠,28,上櫃
3632,研勤,27,上櫃
3645,達邁,28,上市
3646,艾恩特,28,上櫃
3652,精聯,25,上市
3653,健策,28,上市
3661,世芯-KY,24,上市
3663,鑫科,31,上櫃
3664,安瑞-KY,27,上櫃
3665,貿聯-KY,31,上市
3666,光耀,26,上櫃
3669,圓展,27,上市
3672,康聯訊,27,上櫃
3673,TPK-KY,26,上市
3675,德微,24,上櫃
3679,新至陞,28,上市
3680,家登,24,上櫃
3684,榮昌,27,上櫃
3685,元創精密,05,上櫃
3686,達能,24,上市
3687,歐買尬,36,上櫃
3689,湧德,28,上櫃
3691,碩禾,26,上櫃
3693,營邦,25,上櫃
3694,海華,27,上市
3701,大眾控,25,上市
3702,大聯大,29,上市
3703,欣陸,14,上市
3704,合勤控,27,上市
3705,永信,22,上市
3706,神達,25,上市
3707,漢磊,24,上櫃
3708,上緯投控,35,上市
3709,鑫聯大投控,25,上櫃
3710,連展投控,28,上櫃
3711,日月光投控,24,上市
3712,永崴投控,25,上市
3713,新晶投控,35,上櫃
3714,富采,26,上市
3715,定穎投控,28,上市
3716,中化控股,22,上市
3717,聯嘉投控,12,上市
4102,永日,22,上櫃
4104,佳醫,22,上市
4105,東洋,22,上櫃
4106,雃博,22,上市
4107,邦特,22,上櫃
4108,懷特,22,上市
4109,加捷生醫,22,上櫃
4111,濟生,22,上櫃
4113,聯上,14,上櫃
4114,健喬,22,上櫃
4116,明基醫,22,上櫃
4119,旭富,22,上市
4120,友華,22,上櫃
4121,優盛,22,上櫃
4123,晟德,22,上櫃
4126,太醫,22,上櫃
4127,天良,22,上櫃
4128,中天,22,上櫃
4129,聯合,22,上櫃
4130,健亞,22,上櫃
4131,浩泰,22,上櫃
4133,亞諾法,22,上市
4137,麗豐-KY,22,上市
4138,曜亞,22,上櫃
4139,馬光-KY,22,上櫃
4142,國光生,22,上市
4147,中裕,22,上櫃
4148,全宇生技-KY,22,上市
4153,鈺緯,22,上櫃
4154,樂威科-KY,20,上櫃
4155,訊映,22,上市
4157,太景*-KY,22,上櫃
4160,訊聯基因,22,上櫃
4161,聿新科,22,上櫃
4162,智擎,22,上櫃
4163,鐿鈦,22,上櫃
4164,承業醫,22,上市
4166,友霖,22,上櫃
4167,松瑞藥,22,上櫃
4168,醣聯,22,上櫃
4171,瑞基,33,上櫃
4173,久裕,22,上櫃
4174,浩鼎,22,上櫃
4175,杏一,22,上櫃
4183,福永生技,22,上櫃
4188,安克,22,上櫃
4190,佐登-KY,22,上市
4192,杏國,22,上櫃
4198,欣大健康,22,上櫃
4205,中華食,02,上櫃
4207,環泰,02,上櫃
4303,信立,03,上櫃
4304,勝昱,03,上櫃
4305,世坤,03,上櫃
4306,炎洲,03,上市
4401,東隆興,04,上櫃
4402,郡都開發,04,上櫃
4406,新昕纖,04,上櫃
4413,飛寶企業,04,上櫃
4414,如興,04,上市
4416,三圓,14,上櫃
4417,金洲,04,上櫃
4419,皇家美食,16,上櫃
4420,光明,04,上櫃
4426,利勤,04,上市
4430,耀億,20,上櫃
4432,銘旺實,04,上櫃
4433,興采,04,上櫃
4438,廣越,04,上市
4439,冠星-KY,04,上市
4440,宜新實業,04,上市
4441,振大環球,04,上市
4442,竣邦-KY,04,上櫃
4502,健信,05,上櫃
4503,金雨,05,上櫃
4506,崇友,05,上櫃
4510,高鋒,05,上櫃
4513,福裕,05,上櫃
4523,永彰,05,上櫃
4526,東台,05,上市
4527,方方土霖,05,上櫃
4528,江興鍛,05,上櫃
4529,淳紳,20,上櫃
4530,宏易,16,上櫃
4532,瑞智,05,上市
4533,協易機,05,上櫃
4534,慶騰,05,上櫃
4535,至興,05,上櫃
4536,拓凱,37,上市
4538,大詠城,05,上櫃
4540,全球傳動,05,上市
4541,晟田,20,上櫃
4542,科嶠,28,上櫃
4543,萬在,05,上櫃
4545,銘鈺,28,上市
4549,桓達,05,上櫃
4550,長佳,05,上櫃
4551,智伸科,12,上市
4552,力達-KY,05,上市
4554,橙的,31,上櫃
4555,氣立,05,上市
4556,旭然,20,上櫃
4557,永新-KY,12,上市
4558,寶緯,05,上櫃
4560,強信-KY,05,上市
4561,健椿,05,上櫃
4562,穎漢,05,上市
4563,百德,05,上櫃
4564,元翎,05,上市
4566,時碩工業,05,上市
4568,科際精密,05,上櫃
4569,六方科-KY,12,上市
4571,鈞興-KY,05,上市
4572,駐龍,05,上市
4576,大銀微系統,05,上市
4577,達航科技,31,上櫃
4580,捷流閥業,05,上櫃
4581,光隆精密-KY,12,上市
4583,台灣精銳,05,上市
4584,君帆,05,上櫃
4585,達明,31,上市
4588,玖鼎電力,31,上市
4590,富田-創,05,上市
4609,唐鋒,38,上櫃
4702,中美實,38,上櫃
4706,大恭,21,上櫃
4707,磐亞,21,上櫃
4711,永純,21,上櫃
4714,永捷,21,上櫃
4716,大立,21,上櫃
4720,德淵,21,上市
4721,美琪瑪,21,上櫃
4722,國精化,21,上市
4726,永昕,22,上櫃
4728,雙美,22,上櫃
4729,熒茂,26,上櫃
4735,豪展,22,上櫃
4736,泰博,22,上市
4737,華廣,22,上市
4739,康普,21,上市
4741,泓瀚,21,上櫃
4743,合一,22,上櫃
4744,皇將,22,上櫃
4745,合富-KY,22,上櫃
4746,台耀,22,上市
4747,強生製藥,22,上櫃
4749,新應材,24,上櫃
4754,國碳科,21,上櫃
4755,三福化,21,上市
4760,勤凱科技,31,上櫃
4763,材料*-KY,21,上市
4764,雙鍵,21,上市
4766,南寶,21,上市
4767,誠泰科技,21,上櫃
4768,晶呈科技,21,上櫃
4770,上品,21,上市
4771,望隼,22,上市
4772,台特化,21,上櫃
4804,大略-KY,16,上櫃
4806,桂田文創,32,上櫃
4807,日成-KY,18,上市
4903,聯光通,27,上櫃
4904,遠傳,27,上市
4905,台聯電,27,上櫃
4906,正文,27,上市
4907,富宇,14,上櫃
4908,前鼎,27,上櫃
4909,新復興,27,上櫃
